rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0197.jpg,78.8,0.5316,0.9032,0.0,0.4,1,0,False,False
76,frame_0382.jpg,152.8,0.5305,0.5291,0.8333,0.08,8,5,False,False
77,frame_0089.jpg,35.6,0.5277,0.5954,0.5,0.4,9,3,False,False
78,frame_0125.jpg,50.0,0.5274,0.4668,0.5,0.72,11,3,False,False
79,frame_0205.jpg,82.0,0.5269,0.5658,0.3333,0.72,3,2,False,False
80,frame_0277.jpg,110.8,0.5268,0.6415,0.5,0.28,9,3,False,False
81,frame_0221.jpg,88.4,0.5261,0.6562,0.5,0.24,10,3,False,False
82,frame_0302.jpg,120.8,0.5256,0.5913,0.5,0.4,7,3,False,False
83,frame_0030.jpg,12.0,0.525,0.55,0.1667,1.0,8,1,False,False
84,frame_0297.jpg,118.8,0.5249,0.6098,0.3333,0.6,9,2,False,False
85,frame_0301.jpg,120.4,0.5238,0.6716,0.3333,0.44,8,2,False,False
86,frame_0018.jpg,7.2,0.523,0.5459,0.1667,1.0,7,1,False,False
87,frame_0081.jpg,32.4,0.5229,0.5578,0.3333,0.72,8,2,False,False
88,frame_0180.jpg,72.0,0.5224,0.6128,0.6667,0.08,7,4,False,False
89,frame_0215.jpg,86.0,0.5218,0.5517,0.5,0.48,8,3,False,False
90,frame_0233.jpg,93.2,0.5211,0.6462,0.5,0.24,11,3,False,False
91,frame_0032.jpg,12.8,0.5209,0.4419,0.3333,1.0,8,2,False,False
92,frame_0280.jpg,112.0,0.5204,0.5808,0.5,0.4,7,3,False,False
93,frame_0167.jpg,66.8,0.5203,0.6007,0.3333,0.6,8,2,False,False
94,frame_0029.jpg,11.6,0.5135,0.5269,0.1667,1.0,7,1,False,False
95,frame_0011.jpg,4.4,0.5114,0.5228,0.1667,1.0,3,1,False,False
96,frame_0287.jpg,114.8,0.5112,0.5504,0.3333,0.68,7,2,False,False
97,frame_0327.jpg,130.8,0.5091,0.7021,0.5,0.04,13,3,False,False
98,frame_0188.jpg,75.2,0.5082,0.7004,0.5,0.04,11,3,False,False
